station_id,name,lat,lon,elevation_m,county_code,state_code,monitor_type
06-037-1103,Los Angeles-North Main Street,34.06659,-118.22688,87.0,37,6,FEM
06-037-1201,Reseda,34.19925,-118.53276,226.0,37,6,FRM
06-037-1302,Compton,33.901389,-118.205,27.0,37,6,FEM
06-037-1602,Pico Rivera #2,34.01029,-118.0685,75.0,37,6,FRM
06-037-2005,Pasadena,34.1326,-118.1272,250.0,37,6,FRM
06-037-4008,Long Beach-Route 710 Near Road,33.859662,-118.200707,12.0,37,6,FEM
06-037-4009,Signal Hill (LBSH),33.793713,-118.171019,8.0,37,6,FEM
06-037-9035,Lancaster - Fairgrounds,34.725389,-118.178601,706.5,37,6,FEM
06-059-0007,Anaheim,33.83062,-117.93845,10.0,59,6,FEM
06-059-2022,Mission Viejo,33.63003,-117.67593,161.0,59,6,FEM
06-065-8001,Rubidoux,33.99958,-117.41601,250.0,65,6,FEM
06-065-8005,Mira Loma (Van Buren),33.99636,-117.4924,250.0,65,6,FEM
06-071-0027,Ontario-Route 60 Near Road,34.030833,-117.61722,258.0,71,6,FEM
06-071-0306,Victorville-Park Avenue,34.510961,-117.32554,913.0,71,6,FEM
06-071-2002,Fontana,34.10002,-117.49201,381.0,71,6,FRM
06-071-9004,San Bernardino,34.106678,-117.274063,0.0,71,6,FRM
06-111-0007,Thousand Oaks,34.210169,-118.870509,244.0,111,6,FEM
06-111-0009,Piru - Pacific,34.404281,-118.80998,190.0,111,6,FEM
06-111-2002,Simi Valley-Cochran Street,34.276316,-118.683685,314.0,111,6,FEM
