epoch,step,train_loss,val_loss
0,99,,5.055397033691406
0,99,3.730844497680664,
1,199,,3.8718507289886475
1,199,2.4578113555908203,
2,299,,3.346466064453125
2,299,2.101914405822754,
3,399,,3.412665605545044
3,399,1.9344934225082397,
4,499,,3.341479539871216
4,499,1.8215289115905762,
5,599,,3.239917755126953
5,599,1.7850127220153809,
6,699,,3.2318687438964844
6,699,1.76900053024292,
7,799,,3.4605770111083984
7,799,1.7583504915237427,
8,899,,3.1543447971343994
8,899,1.7420121431350708,
9,999,,3.280704975128174
9,999,1.720197319984436,
10,1099,,3.308717727661133
10,1099,1.7189387083053589,
11,1199,,3.103424310684204
11,1199,1.7041101455688477,
12,1299,,3.2615299224853516
12,1299,1.7196613550186157,
13,1399,,3.3565945625305176
13,1399,1.7569714784622192,
14,1499,,3.484445333480835
14,1499,1.6490998268127441,
15,1599,,3.1831014156341553
15,1599,1.679153561592102,
16,1699,,3.0418667793273926
16,1699,1.6429107189178467,
17,1799,,3.0852062702178955
17,1799,1.6950769424438477,
18,1899,,3.1973373889923096
18,1899,1.642641544342041,
19,1999,,3.274298906326294
19,1999,1.5955945253372192,
20,2099,,3.0923173427581787
20,2099,1.6242218017578125,
21,2199,,2.8603336811065674
21,2199,1.6439316272735596,
22,2299,,3.2065963745117188
22,2299,1.5804431438446045,
23,2399,,2.906198263168335
23,2399,1.620212197303772,
24,2499,,3.005101442337036
24,2499,1.5928611755371094,
25,2599,,2.7647945880889893
25,2599,1.585720419883728,
26,2699,,2.9059252738952637
26,2699,1.6067111492156982,
27,2799,,2.760718584060669
27,2799,1.5984338521957397,
28,2899,,2.906261682510376
28,2899,1.6024823188781738,
29,2999,,2.550563335418701
29,2999,1.579606294631958,
30,3099,,2.8212814331054688
30,3099,1.5749543905258179,
31,3199,,2.746067523956299
31,3199,1.6014976501464844,
32,3299,,2.8718206882476807
32,3299,1.5932902097702026,
33,3399,,3.049469470977783
33,3399,1.5527323484420776,
34,3499,,2.916625499725342
34,3499,1.5849316120147705,
35,3599,,2.6736156940460205
35,3599,1.6083686351776123,
36,3699,,2.7583796977996826
36,3699,1.5528372526168823,
37,3799,,2.679961681365967
37,3799,1.56119966506958,
38,3899,,2.6884918212890625
38,3899,1.5482522249221802,
39,3999,,2.8674979209899902
39,3999,1.5815869569778442,
